name,breed,rare_gen,price,description,region,date,image_url
Необычные по окрасу Мейн-кунята ищут новый заботливый длм,Не указано,False,10000,Чистопородные котата готовы переехать в новый заботливый дом Котята обработаны и проглистогонены Котята четко ходят на горшок Родители имеют документы Кошка и кот живут вместе Котята моей семейной пары живут во многих городах области и даже за ее предела...,Екатеринбург,15.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/b5/5f/671103_130x130.jpg
Melvinbag,Леопардовая собака Катахулы (катахула),False,59418,"Gay Boys Porn &lta href=https://gay0day.com/&gthttps://gay0day.com&lt/a&gt HD is the best gay porn tube to watch high definition videos of horny gay boys jerking, sucking their mates and fucking on webcam",Саратов,14.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
щенки немецкой овчарки,Немецкая овчарка,False,50000,"Питомник немецких овчарок предлагает щенков. Родители щенков проверены на дисплазию, имеют уравновешенную психику, выраженные инстинкты, отличные рабочие качества, чемпионы России, РКФ (Российская кинологическая федерация). Щенки активные, с хорошим характером...",Москва,13.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f6/be/05/671084_130x130.jpg
Щенок Сиба ину,Сиба-ину,False,40000,"Продам щенка 3 лет породы Сиба Ину в хорошую семью, с последующим отслеживанием его жизни. Все прививки сделаны, собака абсолютно здорова , имеется вет. паспорт, а также документы РКФ. Умненький, покладистый, красавец, любимец публики, любит детей. На все во...",Нижний Новгород,11.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/d0/ba/c1/671061_130x130.jpg
Щенок породы Хаванез,Гаванский бишон (гаванская болонка),False,150000,Щенок рожден от титулованной пары племенных собак породы Хаванез 06.09.2024. Находится в Москве. Есть доставка по России.,Москва,09.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/09/97/a0/671020_130x130.jpg
Малый брабансон красивый мальчик,Брюссельский гриффон,False,50000,"МОСКВА Рыжий МАЛЬЧИК пти-брабансон/малый брабансон. Предлагается для предварительного резерва. Без грыж, заломов и белых пятен! Мальчик ярко-рыжий в черной маске. С правильными маленькими ушками. Зубы 6*6 Качественный малыш, от хороших выставочных родителе...",Москва,08.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/17/fd/02/671010_130x130.jpg
Щенки ротвейлера,Ротвейлер,False,60000,"!комментарии не отслеживаю,звоните.Подрощенные малыши ротвейлера,4,5месяца,с полной вакцинацией,клеймо,метрика щенка ркф,организуем доставку",Екатеринбург,05.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/f4/0d/3a/670985_130x130.jpg
Австралийский шелковистый терьер,Австралийский келпи,True,60000,"Всем добра ! Возможно вы долго искали Силки! Открыта бронь на щенков Австралийского шелковистого терьера - Силки. Щеночки от родителей Шоу класса, чемпионов России , РКФ, САС, признаны лучшими представители породы, признаны лучшей парой, имеют допуски генетич...",Санкт-Петербург,04.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/d0/55/8b/670968_130x130.jpg
Австралийский Шелковистый терьер,Австралийская овчарка,True,60000,"Если вы выбираете себе питомца, то настало время уделить внимание на редкую породу шоу класса в России и странах СНГ- Австралийский шелковистый терьер- Силки, уникальная порода, гипоаллергенна, шерсть настоящий шелк. Щенки имеют хорошую родословную, родители Ч...",Москва,03.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/00/4f/e0/670966_130x130.jpg
Маленький Малёк ищет новую семью,Не указано,False,N/A,"Ищем новую семью нашей Молли! Расскажу историю .. нашла я ее год назад на улице в мусорном баке . Маленькую двух месячную малышку , в завязанном пакете .. скулящую из последних сил.. забрала домой . Обогрела, откормила , приютила. Все бы хорошо.. ребе...",Москва,01.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/42/76/55/670907_130x130.jpg
Щенки золотистого ретривера,Золотистый ретривер,True,60000,"Прeдлaгaютcя щeнки зoлoтистого рeтривeрa из питомника Велориджесс. Родители титулованные, с рабочими дипломами&nbsp по розыску и подаче битой дичи. Проверены по здоровью, на&nbsp генетические заболевания и дисплазию. PRA1,2 чисто Ихтиоз папа носитель, мама...",Казань,01.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/4e/22/14/670914_130x130.jpg
Щенки Восточноевропейской овчарки,Не указано,False,25000,"Щенки ВЕО рождены 4 июля С документами ,клеймо, Метрика Папа и мама активно участвуют в выставках занимают первые места Остались только ДЕВОЧКИ У родителей ЗКС ОКД Т1",Ростов-на-Дону,01.10.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/68/69/97/670919_130x130.jpg
Щенки Вельш корги пемброк,Вельш корги пемброк (корги пемброк),False,55000,"Продаются щенки Вельш корги пемброк. Д. Р. 05.08.2024.мальчики и девочки, с хвостиками и без. Документы РКФ.",Санкт-Петербург,29.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/0c/78/9a/670858_130x130.jpg
Татьяна Викторовна Меленкина,Той пудель,False,90000,"Предлагаются к продаже два мальчика той- пуделя рождённые 19.08.24. Мама- мениатюра, папа- тедди Китай . Первый помет от залюбленной собачки. В новый дом поедут с вет.паспортом и прививками по возврасту.",Нижний Новгород,26.09.2024,//6kcmxu3d7l.a.trbcdn.net/upload/files-new/2f/5d/9b/_110x110.jpg
